,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
133,Assam,18,08,Darrang,Darrang,Assam,18,26,325,Assam,Darrang,18_8,District - Darrang 08,752160.0,Darrang,18_26,Darrang,18_325,928500,0.5
134,Jammu and Kashmir,99,99,Data Not Available,Data Not Available,Jammu & Kashmir,99,99,0,Jammu and Kashmir,Data Not Available,99_99,Data Not Available,0.0,Data Not Available,99_99,Data Not Found,99_99,0,1.0
135,Madhya Pradesh,23,05,Datia,Datia,Madhya Pradesh,23,5,422,Madhya Pradesh,Datia,23_5,District - Datia 05,628240.0,Datia,23_5,Datia,23_422,786754,1.0
136,Karnataka,29,14,Davanagere,Davanagere,Karnataka,29,13,567,Karnataka,Davanagere,29_14,District - Davanagere * 14,1790952.0,Davanagere,29_13,Davanagere,29_567,1945497,1.0
137,Orissa,21,04,Debagarh,Debagarh,Odisha,21,4,373,Orissa,Debagarh,21_4,District - Debagarh * 04,274108.0,Debagarh,21_4,Debagarh,21_373,312520,1.0
138,Uttarakhand,05,05,Dehradun,Dehradun,Uttarakhand,5,5,60,Uttarakhand,Dehradun,5_5,District - Dehradun 05,1282143.0,Dehradun,5_5,Dehradun,5_60,1696694,1.0
139,Jharkhand,20,07,Deoghar,Deoghar,Jharkhand,20,5,350,Jharkhand,Deoghar,20_7,District - Deoghar 07,1165390.0,Deoghar,20_5,Deoghar,20_350,1492073,1.0
140,Uttar Pradesh,09,60,Deoria,Deoria,Uttar Pradesh,9,59,190,Uttar Pradesh,Deoria,9_60,District - Deoria 60,2712650.0,Deoria,9_59,Deoria,9_190,3100946,1.0
141,Madhya Pradesh,23,23,Dewas,Dewas,Madhya Pradesh,23,20,437,Madhya Pradesh,Dewas,23_23,District - Dewas 23,1308223.0,Dewas,23_20,Dewas,23_437,1563715,1.0
142,Tripura,16,03,Dhalai,Dhalai,Tripura,16,3,291,Tripura,Dhalai,16_3,District - Dhalai * 03,307868.0,Dhalai,16_3,Dhalai,16_291,378230,1.0
143,Chhattisgarh,22,13,Dhamtari,Dhamtari,Chhattisgarh,22,13,412,Chhattisgarh,Dhamtari,22_13,District - Dhamtari * 13,706591.0,Dhamtari,22_13,Dhamtari,22_412,799781,1.0
144,Jharkhand,20,12,Dhanbad,Dhanbad,Jharkhand,20,9,354,Jharkhand,Dhanbad,20_12,District - Dhanbad 12,2397102.0,Dhanbad,20_9,Dhanbad,20_354,2684487,1.0
145,Madhya Pradesh,23,25,Dhar,Dhar,Madhya Pradesh,23,21,438,Madhya Pradesh,Dhar,23_25,District - Dhar 25,1740329.0,Dhar,23_21,Dhar,23_438,2185793,1.0
146,Tamil Nadu,33,05,Dharmapuri,Dharmapuri,Tamil Nadu,33,29,630,Tamil Nadu,Dharmapuri,33_5,District - Dharmapuri 05,1428150.0,Dharmapuri,33_29,Dharmapuri,33_630,1506843,0.5
147,Karnataka,29,09,Dharwad,Dharwad,Karnataka,29,8,562,Karnataka,Dharwad,29_9,District - Dharwad 09,1604253.0,Dharwad,29_8,Dharwad,29_562,1847023,1.0
148,Rajasthan,08,08,Dhaulpur,Dhaulpur,Rajasthan,8,8,106,Rajasthan,Dhaulpur,8_8,District - Dhaulpur 08,983258.0,Dhaulpur,8_8,Dhaulpur,8_106,1206516,1.0
149,Assam,18,13,Dhemaji,Dhemaji,Assam,18,9,308,Assam,Dhemaji,18_13,District - Dhemaji 13,571944.0,Dhemaji,18_9,Dhemaji,18_308,686133,1.0
150,Orissa,21,14,Dhenkanal,Dhenkanal,Odisha,21,14,383,Orissa,Dhenkanal,21_14,District - Dhenkanal 14,1066878.0,Dhenkanal,21_14,Dhenkanal,21_383,1192811,1.0
151,Assam,18,02,Dhubri,Dhubri,Assam,18,2,301,Assam,Dhubri,18_2,District - Dhubri 02,1637344.0,Dhubri,18_2,Dhubri,18_301,1949258,1.0
152,Maharashtra,27,02,Dhule,Dhule,Maharashtra,27,2,498,Maharashtra,Dhule,27_2,District - Dhule 02,1707947.0,Dhule,27_2,Dhule,27_498,2050862,1.0
153,Arunanchal Pradesh,12,10,Dibang Valley,Dibang Valley,Arunanchal Pradesh,12,13,257,Arunanchal Pradesh,Dibang Valley,12_10,District - Dibang Valley 10,28860.0,Dibang Valley,12_13,Dibang Valley,12_257,8004,0.5
154,Assam,18,15,Dibrugarh,Dibrugarh,Assam,18,11,310,Assam,Dibrugarh,18_15,District - Dibrugarh 15,1185072.0,Dibrugarh,18_11,Dibrugarh,18_310,1326335,1.0
155,Tamil Nadu,33,13,Dindigul,Dindigul,Tamil Nadu,33,11,612,Tamil Nadu,Dindigul,33_13,District - Dindigul 13,1923014.0,Dindigul,33_11,Dindigul,33_612,2159775,1.0
156,Madhya Pradesh,23,41,Dindori,Dindori,Madhya Pradesh,23,36,453,Madhya Pradesh,Dindori,23_41,District - Dindori * 41,580730.0,Dindori,23_36,Dindori,23_453,704524,1.0
157,Daman & Diu,25,01,Diu,Diu,Daman & Diu,25,1,494,Daman & Diu,Diu,25_1,District - Diu 01,44215.0,Diu,25_1,Diu,25_494,52074,1.0
158,Jammu and Kashmir,01,09,Doda,Doda,Jammu & Kashmir,1,16,16,Jammu and Kashmir,Doda,1_9,District - Doda 09,230643.0,Doda,1_16,Doda,1_16,409936,0.3333333333333333
159,Gujarat,24,18,Dohad,Dohad,Gujarat,24,18,485,Gujarat,Dohad,24_18,District - Dohad * 18,1636433.0,Dohad,24_18,Dohad,24_485,2127086,1.0
160,Jharkhand,20,11,Dumka,Dumka,Jharkhand,20,17,362,Jharkhand,Dumka,20_11,District - Dumka 11,879801.0,Dumka,20_17,Dumka,20_362,1321442,0.5
161,Rajasthan,08,27,Dungarpur,Dungarpur,Rajasthan,8,26,124,Rajasthan,Dungarpur,8_27,District - Dungarpur 27,1107643.0,Dungarpur,8_26,Dungarpur,8_124,1388552,1.0
162,Chhattisgarh,22,10,Durg,Durg,Chhattisgarh,22,10,409,Chhattisgarh,Durg,22_10,District - Durg 10,2810436.0,Durg,22_10,Durg,22_409,3343872,1.0
163,Nagaland,13,06,Dimapur,Dimapur,Nagaland,13,5,265,Nagaland,Dimapur,13_6,District - Dimapur * 06,309024.0,Dimapur,13_5,Dimapur,13_265,378811,1.0
164,Delhi  & NCR,07,04,East,East,NCT of Delhi,7,4,93,Delhi  & NCR,East,7_4,District - East * 04,1463583.0,East,7_4,East,7_93,1709346,1.0
165,Sikkim,11,04,East,East,Sikkim,11,4,244,Sikkim,East,11_4,District - East 04,245040.0,East,11_4,East District,11_244,283583,1.0
166,Meghalaya,17,02,East Garo Hills,East Garo Hills,Meghalaya,17,2,294,Meghalaya,East Garo Hills,17_2,District - East Garo Hills 02,250582.0,East Garo Hills,17_2,East Garo Hills,17_294,317917,1.0
167,Andhra Pradesh,28,14,East Godavari,East Godavari,Andhra Pradesh,28,14,545,Andhra Pradesh,East Godavari,28_14,District - East Godavari 14,4901420.0,East Godavari,28_14,East Godavari,28_545,5154296,1.0
