,ST_NM,ST_CEN_CD,DT_CEN_CD,DISTRICT,DISTRICT_2,ST_NM_2,ST_CEN_CD_,DT_CEN_CD_,censuscode,T J_STNM01,T J_DISTRI,join_code,T J_Name01,T J_Pop01,T J_DIST_1,T J_CM11,T J_Name11,T J_Code11,T J_Pop11,divide_01
234,Madhya Pradesh,23,26,Indore,Indore,Madhya Pradesh,23,22,439,Madhya Pradesh,Indore,23_26,District - Indore 26,2465827.0,Indore,23_22,Indore,23_439,3276697,1.0
235,Madhya Pradesh,23,39,Jabalpur,Jabalpur,Madhya Pradesh,23,34,451,Madhya Pradesh,Jabalpur,23_39,District - Jabalpur 39,2151203.0,Jabalpur,23_34,Jabalpur,23_451,2463289,1.0
236,Orissa,21,11,Jagatsinghapur,Jagatsinghapur,Odisha,21,11,380,Orissa,Jagatsinghapur,21_11,District - Jagatsinghapur * 11,1057629.0,Jagatsinghapur,21_11,Jagatsinghapur,21_380,1136971,1.0
237,Meghalaya,17,07,Jaintia Hills,Jaintia Hills,Meghalaya,17,7,299,Meghalaya,Jaintia Hills,17_7,District - Jaintia Hills 07,299108.0,Jaintia Hills,17_7,Jaintia Hills,17_299,395124,1.0
238,Rajasthan,08,12,Jaipur,Jaipur,Rajasthan,8,12,110,Rajasthan,Jaipur,8_12,District - Jaipur 12,5251071.0,Jaipur,8_12,Jaipur,8_110,6626178,1.0
239,Rajasthan,08,16,Jaisalmer,Jaisalmer,Rajasthan,8,16,114,Rajasthan,Jaisalmer,8_16,District - Jaisalmer 16,508247.0,Jaisalmer,8_16,Jaisalmer,8_114,669919,1.0
240,Orissa,21,13,Jajapur,Jajapur,Odisha,21,13,382,Orissa,Jajapur,21_13,District - Jajapur * 13,1624341.0,Jajapur,21_13,Jajapur,21_382,1827192,1.0
241,Punjab,03,04,Jalandhar,Jalandhar,Punjab,3,3,37,Punjab,Jalandhar,3_4,District - Jalandhar 04,1962700.0,Jalandhar,3_3,Jalandhar,3_37,2193590,1.0
242,Uttar Pradesh,09,35,Jalaun,Jalaun,Uttar Pradesh,9,34,165,Uttar Pradesh,Jalaun,9_35,District - Jalaun 35,1454452.0,Jalaun,9_34,Jalaun,9_165,1689974,1.0
243,Maharashtra,27,03,Jalgaon,Jalgaon,Maharashtra,27,3,499,Maharashtra,Jalgaon,27_3,District - Jalgaon 03,3682690.0,Jalgaon,27_3,Jalgaon,27_499,4229917,1.0
244,Maharashtra,27,18,Jalna,Jalna,Maharashtra,27,18,514,Maharashtra,Jalna,27_18,District - Jalna 18,1612980.0,Jalna,27_18,Jalna,27_514,1959046,1.0
245,Rajasthan,08,18,Jalor,Jalor,Rajasthan,8,18,116,Rajasthan,Jalor,8_18,District - Jalor 18,1448940.0,Jalor,8_18,Jalor,8_116,1828730,1.0
246,West Bengal,19,02,Jalpaiguri,Jalpaiguri,West Bengal,19,2,328,West Bengal,Jalpaiguri,19_2,District - Jalpaiguri 02,3401173.0,Jalpaiguri,19_2,Jalpaiguri,19_328,3872846,1.0
247,Jammu and Kashmir,01,13,Jammu,Jammu,Jammu & Kashmir,1,21,21,Jammu and Kashmir,Jammu,1_13,District - Jammu 13,794386.0,Jammu,1_21,Jammu,1_21,1529958,0.5
248,Gujarat,24,10,Jamnagar,Jamnagar,Gujarat,24,10,477,Gujarat,Jamnagar,24_10,District - Jamnagar 10,1904278.0,Jamnagar,24_10,Jamnagar,24_477,2160119,1.0
249,Jharkhand,20,11,Dumka,Jamtara,Jharkhand,20,18,363,Jharkhand,Dumka,20_11,District - Dumka 11,879801.0,Jamtara,20_18,Jamtara,20_363,791042,0.5
250,Bihar,10,37,Jamui,Jamui,Bihar,10,36,238,Bihar,Jamui,10_37,District - Jamui * 37,1398796.0,Jamui,10_36,Jamui,10_238,1760405,1.0
251,Chhattisgarh,22,06,Janjgir - Champa,Janjgir-champa,Chhattisgarh,22,6,405,Chhattisgarh,Janjgir - Champa,22_6,District - Janjgir - Champa * 06,1317431.0,Janjgir-champa,22_6,Janjgir-champa,22_405,1619707,1.0
252,Chhattisgarh,22,03,Jashpur,Jashpur,Chhattisgarh,22,3,402,Chhattisgarh,Jashpur,22_3,District - Jashpur * 03,743160.0,Jashpur,22_3,Jashpur,22_402,851669,1.0
253,Uttar Pradesh,09,64,Jaunpur,Jaunpur,Uttar Pradesh,9,63,194,Uttar Pradesh,Jaunpur,9_64,District - Jaunpur 64,3911679.0,Jaunpur,9_63,Jaunpur,9_194,4494204,1.0
254,Madhya Pradesh,23,24,Jhabua,Jhabua,Madhya Pradesh,23,47,464,Madhya Pradesh,Jhabua,23_24,District - Jhabua 24,697280.5,Jhabua,23_47,Jhabua,23_464,1025048,0.5
255,Haryana,06,15,Jhajjar,Jhajjar,Haryana,6,15,83,Haryana,Jhajjar,6_15,District - Jhajjar * 15,880072.0,Jhajjar,6_15,Jhajjar,6_83,958405,1.0
256,Rajasthan,08,32,Jhalawar,Jhalawar,Rajasthan,8,31,129,Rajasthan,Jhalawar,8_32,District - Jhalawar 32,1180323.0,Jhalawar,8_31,Jhalawar,8_129,1411129,1.0
257,Uttar Pradesh,09,36,Jhansi,Jhansi,Uttar Pradesh,9,35,166,Uttar Pradesh,Jhansi,9_36,District - Jhansi 36,1744931.0,Jhansi,9_35,Jhansi,9_166,1998603,1.0
258,Orissa,21,02,Jharsuguda,Jharsuguda,Odisha,21,2,371,Orissa,Jharsuguda,21_2,District - Jharsuguda * 02,509716.0,Jharsuguda,21_2,Jharsuguda,21_371,579505,1.0
259,Rajasthan,08,05,Jhunjhunun,Jhunjhunun,Rajasthan,8,5,103,Rajasthan,Jhunjhunun,8_5,District - Jhunjhunun 05,1913689.0,Jhunjhunun,8_5,Jhunjhunun,8_103,2137045,1.0
260,Rajasthan,08,15,Jodhpur,Jodhpur,Rajasthan,8,15,113,Rajasthan,Jodhpur,8_15,District - Jodhpur 15,2886505.0,Jodhpur,8_15,Jodhpur,8_113,3687165,1.0
261,Assam,18,17,Jorhat,Jorhat,Assam,18,13,312,Assam,Jorhat,18_17,District - Jorhat 17,999221.0,Jorhat,18_13,Jorhat,18_312,1092256,1.0
262,Gujarat,24,12,Junagadh,Junagadh,Gujarat,24,12,479,Gujarat,Junagadh,24_12,District - Junagadh 12,2448173.0,Junagadh,24_12,Junagadh,24_479,2743082,1.0
263,Uttar Pradesh,09,06,Jyotiba Phule Nagar,Jyotiba Phule Nagar,Uttar Pradesh,9,6,137,Uttar Pradesh,Jyotiba Phule Nagar,9_6,District - Jyotiba Phule Nagar * 06,1499068.0,Jyotiba Phule Nagar,9_6,Jyotiba Phule Nagar,9_137,1840221,1.0
264,Gujarat,24,01,Kachchh,Kachchh,Gujarat,24,1,468,Gujarat,Kachchh,24_1,District - Kachchh 01,1583225.0,Kachchh,24_1,Kachchh,24_468,2092371,1.0
265,Bihar,10,31,Kaimur (Bhabua),Kaimur (bhabua),Bihar,10,31,233,Bihar,Kaimur (Bhabua),10_31,District - Kaimur (Bhabua) * 31,1289074.0,Kaimur (bhabua),10_31,Kaimur (Bhabua),10_233,1626384,1.0
266,Haryana,06,05,Kaithal,Kaithal,Haryana,6,5,73,Haryana,Kaithal,6_5,District - Kaithal 05,946131.0,Kaithal,6_5,Kaithal,6_73,1074304,1.0
267,Orissa,21,26,Kalahandi,Kalahandi,Odisha,21,26,395,Orissa,Kalahandi,21_26,District - Kalahandi 26,1335494.0,Kalahandi,21_26,Kalahandi,21_395,1576869,1.0
268,Assam,18,06,Kamrup,Kamrup,Assam,18,22,321,Assam,Kamrup,18_6,District - Kamrup 06,1261162.0,Kamrup,18_22,Kamrup,18_321,1517542,0.5
269,Assam,18,06,Kamrup,Kamrup Metropolitan,Assam,18,23,322,Assam,Kamrup,18_6,District - Kamrup 06,1261162.0,Kamrup Metropolitan,18_23,Kamrup Metropolitan,18_322,1253938,0.5
270,Tamil Nadu,33,03,Kancheepuram,Kancheepuram,Tamil Nadu,33,3,604,Tamil Nadu,Kancheepuram,33_3,District - Kancheepuram 03,2877468.0,Kancheepuram,33_3,Kancheepuram,33_604,3998252,1.0
271,Orissa,21,21,Kandhamal,Kandhamal,Odisha,21,21,390,Orissa,Kandhamal,21_21,District - Kandhamal 21,648201.0,Kandhamal,21_21,Kandhamal,21_390,733110,1.0
272,Himachal Pradesh,02,02,Kangra,Kangra,Himachal Pradesh,2,2,24,Himachal Pradesh,Kangra,2_2,District - Kangra 02,1339030.0,Kangra,2_2,Kangra,2_24,1510075,1.0
273,Chhattisgarh,22,14,Kanker,Uttar Bastar Kanker,Chhattisgarh,22,14,413,Chhattisgarh,Kanker,22_14,District - Kanker * 14,650934.0,Uttar Bastar Kanker,22_14,Uttar Bastar Kanker,22_413,748941,1.0
274,Uttar Pradesh,09,30,Kannauj,Kannauj,Uttar Pradesh,9,29,160,Uttar Pradesh,Kannauj,9_30,District - Kannauj * 30,1388923.0,Kannauj,9_29,Kannauj,9_160,1656616,1.0
275,Tamil Nadu,33,30,Kanniyakumari,Kanniyakumari,Tamil Nadu,33,28,629,Tamil Nadu,Kanniyakumari,33_30,District - Kanniyakumari 30,1676034.0,Kanniyakumari,33_28,Kanniyakumari,33_629,1870374,1.0
276,Kerala,32,02,Kannur,Kannur,Kerala,32,2,589,Kerala,Kannur,32_2,District - Kannur 02,2408956.0,Kannur,32_2,Kannur,32_589,2523003,1.0
277,Uttar Pradesh,09,33,Kanpur Dehat,Kanpur Dehat,Uttar Pradesh,9,32,163,Uttar Pradesh,Kanpur Dehat,9_33,District - Kanpur Dehat 33,1563336.0,Kanpur Dehat,9_32,Kanpur Dehat,9_163,1796184,1.0
278,Uttar Pradesh,09,34,Kanpur Nagar,Kanpur Nagar,Uttar Pradesh,9,33,164,Uttar Pradesh,Kanpur Nagar,9_34,District - Kanpur Nagar 34,4167999.0,Kanpur Nagar,9_33,Kanpur Nagar,9_164,4581268,1.0
279,Uttar Pradesh,09,17,Etah,Kansiram Nagar,Uttar Pradesh,9,71,202,Uttar Pradesh,Etah,9_17,District - Etah 17,1395205.0,Kansiram Nagar,9_71,Kansiram Nagar,9_202,1436719,0.5
280,Punjab,03,03,Kapurthala,Kapurthala,Punjab,3,2,36,Punjab,Kapurthala,3_3,District - Kapurthala 03,754521.0,Kapurthala,3_2,Kapurthala,3_36,815168,1.0
281,Assam,18,19,Karbi Anglong,Karbi Anglong,Assam,18,15,314,Assam,Karbi Anglong,18_19,District - Karbi Anglong 19,813311.0,Karbi Anglong,18_15,Karbi Anglong,18_314,956313,1.0
282,Jammu and Kashmir,01,08,Kargil,Kargil,Jammu & Kashmir,1,4,4,Jammu and Kashmir,Kargil,1_8,District - Kargil 08,119307.0,Kargil,1_4,Kargil,1_4,140802,1.0
283,Assam,18,22,Karimganj,Karimganj,Assam,18,18,317,Assam,Karimganj,18_22,District - Karimganj 22,1007976.0,Karimganj,18_18,Karimganj,18_317,1228686,1.0
284,Andhra Pradesh,28,03,Karimnagar,Karimnagar,Andhra Pradesh,28,3,534,Andhra Pradesh,Karimnagar,28_3,District - Karimnagar 03,3491822.0,Karimnagar,28_3,Karimnagar,28_534,3776269,1.0
285,Haryana,06,06,Karnal,Karnal,Haryana,6,6,74,Haryana,Karnal,6_6,District - Karnal 06,1274183.0,Karnal,6_6,Karnal,6_74,1505324,1.0
286,Tamil Nadu,33,14,Karur,Karur,Tamil Nadu,33,12,613,Tamil Nadu,Karur,33_14,District - Karur * 14,935686.0,Karur,33_12,Karur,33_613,1064493,1.0
287,Kerala,32,01,Kasaragod,Kasaragod,Kerala,32,1,588,Kerala,Kasaragod,32_1,District - Kasaragod 01,1204078.0,Kasaragod,32_1,Kasaragod,32_588,1307375,1.0
288,Jammu and Kashmir,01,14,Kathua,Kathua,Jammu & Kashmir,1,7,7,Jammu and Kashmir,Kathua,1_14,District - Kathua 14,550084.0,Kathua,1_7,Kathua,1_7,616435,1.0
289,Bihar,10,10,Katihar,Katihar,Bihar,10,10,212,Bihar,Katihar,10_10,District - Katihar 10,2392638.0,Katihar,10_10,Katihar,10_212,3071029,1.0
290,Madhya Pradesh,23,38,Katni,Katni,Madhya Pradesh,23,33,450,Madhya Pradesh,Katni,23_38,District - Katni * 38,1064167.0,Katni,23_33,Katni,23_450,1292042,1.0
291,Uttar Pradesh,09,44,Kaushambi,Kaushambi,Uttar Pradesh,9,43,174,Uttar Pradesh,Kaushambi,9_44,District - Kaushambi * 44,1293154.0,Kaushambi,9_43,Kaushambi,9_174,1599596,1.0
292,Orissa,21,10,Kendrapara,Kendrapara,Odisha,21,10,379,Orissa,Kendrapara,21_10,District - Kendrapara * 10,1302005.0,Kendrapara,21_10,Kendrapara,21_379,1440361,1.0
293,Orissa,21,06,Kendujhar,Kendujhar,Odisha,21,6,375,Orissa,Kendujhar,21_6,District - Kendujhar 06,1561990.0,Kendujhar,21_6,Kendujhar,21_375,1801733,1.0
294,Bihar,10,21,Khagaria,Khagaria,Bihar,10,21,223,Bihar,Khagaria,10_21,District - Khagaria 21,1280354.0,Khagaria,10_21,Khagaria,10_223,1666886,1.0
295,Andhra Pradesh,28,10,Khammam,Khammam,Andhra Pradesh,28,10,541,Andhra Pradesh,Khammam,28_10,District - Khammam 10,2578927.0,Khammam,28_10,Khammam,28_541,2797370,1.0
296,Gujarat,24,16,Kheda,Kheda,Gujarat,24,16,483,Gujarat,Kheda,24_16,District - Kheda 16,2024216.0,Kheda,24_16,Kheda,24_483,2299885,1.0
297,Uttar Pradesh,09,23,Kheri,Kheri,Uttar Pradesh,9,22,153,Uttar Pradesh,Kheri,9_23,District - Kheri 23,3207232.0,Kheri,9_22,Kheri,9_153,4021243,1.0
298,Orissa,21,17,Khordha,Khordha,Odisha,21,17,386,Orissa,Khordha,21_17,District - Khordha * 17,1877395.0,Khordha,21_17,Khordha,21_386,2251673,1.0
299,Jharkhand,20,14,Ranchi,Khunti,Jharkhand,20,20,365,Jharkhand,Ranchi,20_14,District - Ranchi 14,1392532.0,Khunti,20_20,Khunti,20_365,531885,0.5
300,Himachal Pradesh,02,12,Kinnaur,Kinnaur,Himachal Pradesh,2,12,34,Himachal Pradesh,Kinnaur,2_12,District - Kinnaur 12,78334.0,Kinnaur,2_12,Kinnaur,2_34,84121,1.0
301,Nagaland,13,02,Tuensang,Kiphire,Nagaland,13,9,269,Nagaland,Tuensang,13_2,District - Tuensang 02,138272.66666666666,Kiphire,13_9,Kiphire,13_269,74004,0.3333333333333333
302,Bihar,10,08,Kishanganj,Kishanganj,Bihar,10,8,210,Bihar,Kishanganj,10_8,District - Kishanganj 08,1296348.0,Kishanganj,10_8,Kishanganj,10_210,1690400,1.0
303,Jammu and Kashmir,01,09,Doda,Kishtwar,Jammu & Kashmir,1,18,18,Jammu and Kashmir,Doda,1_9,District - Doda 09,230643.0,Kishtwar,1_18,Kishtwar,1_18,230696,0.3333333333333333
304,West Bengal,19,03,Koch Bihar,Koch Bihar,West Bengal,19,3,329,West Bengal,Koch Bihar,19_3,District - Koch Bihar 03,2479155.0,Koch Bihar,19_3,Koch Bihar,19_329,2819086,1.0
305,Karnataka,29,25,Kodagu,Kodagu,Karnataka,29,22,576,Karnataka,Kodagu,29_25,District - Kodagu 25,548561.0,Kodagu,29_22,Kodagu,29_576,554519,1.0
306,Jharkhand,20,05,Kodarma,Kodarma,Jharkhand,20,3,348,Jharkhand,Kodarma,20_5,District - Kodarma * 05,499403.0,Kodarma,20_3,Kodarma,20_348,716259,1.0
307,Nagaland,13,07,Kohima,Kohima,Nagaland,13,10,270,Nagaland,Kohima,13_7,District - Kohima 07,155042.0,Kohima,13_10,Kohima,13_270,267988,0.5
308,Assam,18,01,Kokrajhar,Kokrajhar,Assam,18,1,300,Assam,Kokrajhar,18_1,District - Kokrajhar 01,452882.0,Kokrajhar,18_1,Kokrajhar,18_300,887142,0.5
309,Karnataka,29,19,Kolar,Kolar,Karnataka,29,27,581,Karnataka,Kolar,29_19,District - Kolar 19,1268034.5,Kolar,29_27,Kolar,29_581,1536401,0.5
310,Mizoram,15,02,Kolasib,Kolasib,Mizoram,15,2,282,Mizoram,Kolasib,15_2,District - Kolasib * 02,65960.0,Kolasib,15_2,Kolasib,15_282,83955,1.0
311,Maharashtra,27,34,Kolhapur,Kolhapur,Maharashtra,27,34,530,Maharashtra,Kolhapur,27_34,District - Kolhapur 34,3523162.0,Kolhapur,27_34,Kolhapur,27_530,3876001,1.0
312,West Bengal,19,17,Kolkata,Kolkata,West Bengal,19,16,342,West Bengal,Kolkata,19_17,District - Kolkata 17,4572876.0,Kolkata,19_16,Kolkata,19_342,4496694,1.0
313,Kerala,32,13,Kollam,Kollam,Kerala,32,13,600,Kerala,Kollam,32_13,District - Kollam 13,2585208.0,Kollam,32_13,Kollam,32_600,2635375,1.0
314,Karnataka,29,07,Koppal,Koppal,Karnataka,29,6,560,Karnataka,Koppal,29_7,District - Koppal * 07,1196089.0,Koppal,29_6,Koppal,29_560,1389920,1.0
315,Orissa,21,29,Koraput,Koraput,Odisha,21,29,398,Orissa,Koraput,21_29,District - Koraput 29,1180637.0,Koraput,21_29,Koraput,21_398,1379647,1.0
316,Chhattisgarh,22,05,Korba,Korba,Chhattisgarh,22,5,404,Chhattisgarh,Korba,22_5,District - Korba * 05,1011823.0,Korba,22_5,Korba,22_404,1206640,1.0
317,Chhattisgarh,22,01,Koriya,Koriya,Chhattisgarh,22,1,400,Chhattisgarh,Koriya,22_1,District - Koriya * 01,586327.0,Koriya,22_1,Koriya,22_400,658917,1.0
318,Rajasthan,08,30,Kota,Kota,Rajasthan,8,29,127,Rajasthan,Kota,8_30,District - Kota 30,1568525.0,Kota,8_29,Kota,8_127,1951014,1.0
319,Kerala,32,10,Kottayam,Kottayam,Kerala,32,10,597,Kerala,Kottayam,32_10,District - Kottayam 10,1953646.0,Kottayam,32_10,Kottayam,32_597,1974551,1.0
320,Kerala,32,04,Kozhikode,Kozhikode,Kerala,32,4,591,Kerala,Kozhikode,32_4,District - Kozhikode 04,2879131.0,Kozhikode,32_4,Kozhikode,32_591,3086293,1.0
321,Andhra Pradesh,28,16,Krishna,Krishna,Andhra Pradesh,28,16,547,Andhra Pradesh,Krishna,28_16,District - Krishna 16,4187841.0,Krishna,28_16,Krishna,28_547,4517398,1.0
322,Tamil Nadu,33,05,Dharmapuri,Krishnagiri,Tamil Nadu,33,30,631,Tamil Nadu,Dharmapuri,33_5,District - Dharmapuri 05,1428150.0,Krishnagiri,33_30,Krishnagiri,33_631,1879809,0.5
323,Jammu and Kashmir,01,06,Anantnag,Kulgam,Jammu & Kashmir,1,15,15,Jammu and Kashmir,Anantnag,1_6,District - Anantnag 06,586217.0,Kulgam,1_15,Kulgam,1_15,424483,0.5
324,Himachal Pradesh,02,04,Kullu,Kullu,Himachal Pradesh,2,4,26,Himachal Pradesh,Kullu,2_4,District - Kullu 04,381571.0,Kullu,2_4,Kullu,2_26,437903,1.0
325,Jammu and Kashmir,01,01,Kupwara,Kupwara,Jammu & Kashmir,1,1,1,Jammu and Kashmir,Kupwara,1_1,District - Kupwara 01,650393.0,Kupwara,1_1,Kupwara,1_1,870354,1.0
326,Andhra Pradesh,28,21,Kurnool,Kurnool,Andhra Pradesh,28,21,552,Andhra Pradesh,Kurnool,28_21,District - Kurnool 21,3529494.0,Kurnool,28_21,Kurnool,28_552,4053463,1.0
327,Haryana,06,04,Kurukshetra,Kurukshetra,Haryana,6,4,72,Haryana,Kurukshetra,6_4,District - Kurukshetra 04,825454.0,Kurukshetra,6_4,Kurukshetra,6_72,964655,1.0
328,Arunanchal Pradesh,12,05,Lower Subansiri,Kurung Kumey,Arunanchal Pradesh,12,12,256,Arunanchal Pradesh,Lower Subansiri,12_5,District - Lower Subansiri 05,49122.0,Kurung Kumey,12_12,Kurung Kumey,12_256,92076,0.5
329,Uttar Pradesh,09,59,Kushinagar,Kushinagar,Uttar Pradesh,9,58,189,Uttar Pradesh,Kushinagar,9_59,District - Kushinagar * 59,2893196.0,Kushinagar,9_58,Kushinagar,9_189,3564544,1.0
330,Himachal Pradesh,02,03,Lahul & Spiti,Lahul & Spiti,Himachal Pradesh,2,3,25,Himachal Pradesh,Lahul & Spiti,2_3,District - Lahul & Spiti 03,33224.0,Lahul & Spiti,2_3,Lahul & Spiti,2_25,31564,1.0
331,Assam,18,12,Lakhimpur,Lakhimpur,Assam,18,8,307,Assam,Lakhimpur,18_12,District - Lakhimpur 12,889010.0,Lakhimpur,18_8,Lakhimpur,18_307,1042137,1.0
332,Bihar,10,25,Lakhisarai,Lakhisarai,Bihar,10,25,227,Bihar,Lakhisarai,10_25,District - Lakhisarai * 25,802225.0,Lakhisarai,10_25,Lakhisarai,10_227,1000912,1.0
333,Uttar Pradesh,09,37,Lalitpur,Lalitpur,Uttar Pradesh,9,36,167,Uttar Pradesh,Lalitpur,9_37,District - Lalitpur 37,977734.0,Lalitpur,9_36,Lalitpur,9_167,1221592,1.0
334,Jharkhand,20,02,Palamu,Latehar,Jharkhand,20,14,359,Jharkhand,Palamu,20_2,District - Palamu 02,1049179.5,Latehar,20_14,Latehar,20_359,726978,0.5
335,Maharashtra,27,28,Latur,Latur,Maharashtra,27,28,524,Maharashtra,Latur,27_28,District - Latur 28,2080285.0,Latur,27_28,Latur,27_524,2454196,1.0
336,Mizoram,15,07,Lawngtlai,Lawangtlai,Mizoram,15,7,287,Mizoram,Lawngtlai,15_7,District - Lawngtlai 07,73620.0,Lawangtlai,15_7,Lawangtlai,15_287,117894,1.0
337,Jammu and Kashmir,01,07,Leh (Ladakh),Leh (ladakh),Jammu & Kashmir,1,3,3,Jammu and Kashmir,Leh (Ladakh),1_7,District - Leh (Ladakh) 07,117232.0,Leh (ladakh),1_3,Leh (ladakh),1_3,133487,1.0
338,Jharkhand,20,15,Lohardaga,Lohardaga,Jharkhand,20,11,356,Jharkhand,Lohardaga,20_15,District - Lohardaga 15,364521.0,Lohardaga,20_11,Lohardaga,20_356,461790,1.0
339,Arunanchal Pradesh,12,11,Lohit,Lohit,Arunanchal Pradesh,12,15,259,Arunanchal Pradesh,Lohit,12_11,District - Lohit 11,71763.5,Lohit,12_15,Lohit,12_259,145726,0.5
340,Nagaland,13,02,Tuensang,Longleng,Nagaland,13,8,268,Nagaland,Tuensang,13_2,District - Tuensang 02,138272.66666666666,Longleng,13_8,Longleng,13_268,50484,0.3333333333333333
341,Arunanchal Pradesh,12,10,Dibang Valley,Lower Dibang Valley,Arunanchal Pradesh,12,14,258,Arunanchal Pradesh,Dibang Valley,12_10,District - Dibang Valley 10,28860.0,Lower Dibang Valley,12_14,Lower Dibang Valley,12_258,54080,0.5
342,Arunanchal Pradesh,12,05,Lower Subansiri,Lower Subansiri,Arunanchal Pradesh,12,11,255,Arunanchal Pradesh,Lower Subansiri,12_5,District - Lower Subansiri 05,49122.0,Lower Subansiri,12_11,Lower Subansiri,12_255,83030,0.5
343,Uttar Pradesh,09,27,Lucknow,Lucknow,Uttar Pradesh,9,26,157,Uttar Pradesh,Lucknow,9_27,District - Lucknow 27,3647834.0,Lucknow,9_26,Lucknow,9_157,4589838,1.0
344,Punjab,03,09,Ludhiana,Ludhiana,Punjab,3,7,41,Punjab,Ludhiana,3_9,District - Ludhiana 09,3032831.0,Ludhiana,3_7,Ludhiana,3_41,3498739,1.0
345,Mizoram,15,06,Lunglei,Lunglei,Mizoram,15,6,286,Mizoram,Lunglei,15_6,District - Lunglei 06,137223.0,Lunglei,15_6,Lunglei,15_286,161428,1.0
346,Bihar,10,11,Madhepura,Madhepura,Bihar,10,11,213,Bihar,Madhepura,10_11,District - Madhepura 11,1526646.0,Madhepura,10_11,Madhepura,10_213,2001762,1.0
347,Bihar,10,05,Madhubani,Madhubani,Bihar,10,5,207,Bihar,Madhubani,10_5,District - Madhubani 05,3575281.0,Madhubani,10_5,Madhubani,10_207,4487379,1.0
348,Tamil Nadu,33,24,Madurai,Madurai,Tamil Nadu,33,22,623,Tamil Nadu,Madurai,33_24,District - Madurai 24,2578201.0,Madurai,33_22,Madurai,33_623,3038252,1.0
349,Uttar Pradesh,09,57,Mahrajganj,Maharajganj,Uttar Pradesh,9,56,187,Uttar Pradesh,Mahrajganj,9_57,District - Maharajganj 57,2173878.0,Maharajganj,9_56,Maharajganj,9_187,2684703,1.0
350,Chhattisgarh,22,12,Mahasamund,Mahasamund,Chhattisgarh,22,12,411,Chhattisgarh,Mahasamund,22_12,District - Mahasamund * 12,860257.0,Mahasamund,22_12,Mahasamund,22_411,1032754,1.0
351,Andhra Pradesh,28,07,Mahbubnagar,Mahbubnagar,Andhra Pradesh,28,7,538,Andhra Pradesh,Mahbubnagar,28_7,District - Mahbubnagar 07,3513934.0,Mahbubnagar,28_7,Mahbubnagar,28_538,4053028,1.0
352,Puducherry,34,03,Mahe,Mahe,Puducherry,34,3,636,Puducherry,Mahe,34_3,District - Mahe 03,36828.0,Mahe,34_3,Mahe,34_636,41816,1.0
353,Haryana,06,16,Mahendragarh,Mahendragarh,Haryana,6,16,84,Haryana,Mahendragarh,6_16,District - Mahendragarh 16,812521.0,Mahendragarh,6_16,Mahendragarh,6_84,922088,1.0
354,Gujarat,24,04,Mahesana,Mahesana,Gujarat,24,4,471,Gujarat,Mahesana,24_4,District - Mahesana 04,1837892.0,Mahesana,24_4,Mahesana,24_471,2035064,1.0
355,Uttar Pradesh,09,39,Mahoba,Mahoba,Uttar Pradesh,9,38,169,Uttar Pradesh,Mahoba,9_39,District - Mahoba * 39,708447.0,Mahoba,9_38,Mahoba,9_169,875958,1.0
356,Uttar Pradesh,09,18,Mainpuri,Mainpuri,Uttar Pradesh,9,17,148,Uttar Pradesh,Mainpuri,9_18,District - Mainpuri 18,1596718.0,Mainpuri,9_17,Mainpuri,9_148,1868529,1.0
357,Kerala,32,05,Malappuram,Malappuram,Kerala,32,5,592,Kerala,Malappuram,32_5,District - Malappuram 05,3625471.0,Malappuram,32_5,Malappuram,32_592,4112920,1.0
358,West Bengal,19,06,Maldah,Maldah,West Bengal,19,6,332,West Bengal,Maldah,19_6,District - Maldah 06,3290468.0,Maldah,19_6,Maldah,19_332,3988845,1.0
359,Orissa,21,30,Malkangiri,Malkangiri,Odisha,21,30,399,Orissa,Malkangiri,21_30,District - Malkangiri * 30,504198.0,Malkangiri,21_30,Malkangiri,21_399,613192,1.0
360,Mizoram,15,01,Mamit,Mamit,Mizoram,15,1,281,Mizoram,Mamit,15_1,District - Mamit * 01,62785.0,Mamit,15_1,Mamit,15_281,86364,1.0
361,Himachal Pradesh,02,05,Mandi,Mandi,Himachal Pradesh,2,5,27,Himachal Pradesh,Mandi,2_5,District - Mandi 05,901344.0,Mandi,2_5,Mandi,2_27,999777,1.0
362,Madhya Pradesh,23,42,Mandla,Mandla,Madhya Pradesh,23,37,454,Madhya Pradesh,Mandla,23_42,District - Mandla 42,894236.0,Mandla,23_37,Mandla,23_454,1054905,1.0
363,Madhya Pradesh,23,19,Mandsaur,Mandsaur,Madhya Pradesh,23,16,433,Madhya Pradesh,Mandsaur,23_19,District - Mandsaur 19,1183724.0,Mandsaur,23_16,Mandsaur,23_433,1340411,1.0
364,Karnataka,29,22,Mandya,Mandya,Karnataka,29,19,573,Karnataka,Mandya,29_22,District - Mandya 22,1763705.0,Mandya,29_19,Mandya,29_573,1805769,1.0
365,Punjab,03,15,Mansa,Mansa,Punjab,3,13,47,Punjab,Mansa,3_15,District - Mansa * 15,688758.0,Mansa,3_13,Mansa,3_47,769751,1.0
366,Assam,18,09,Marigaon,Marigaon,Assam,18,5,304,Assam,Marigaon,18_9,District - Marigaon 09,776256.0,Marigaon,18_5,Marigaon,18_304,957423,1.0
